Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit,roiArea
Output\KO_Pair1_L2R1_1-3.tif,4700,4389,1329,0,71,255,112,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R1_10-12.tif,5382,4722,1569,0,54,255,77,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R1_13-15.tif,4153,4100,1059,0,58,255,69,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R1_4-6.tif,5017,4613,1494,0,64,255,98,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R1_7-9.tif,3996,4635,1204,0,66,255,87,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R2_1-3.tif,6317,4444,1677,0,77,255,95,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R2_10-12.tif,5023,4771,1338,0,66,255,71,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R2_13-15.tif,5099,4412,1231,0,64,255,69,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R2_4-6.tif,5845,4297,1433,0,71,255,89,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R2_7-9.tif,5728,4616,1561,0,65,255,77,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R3_1-3.tif,6668,5162,2223,0,79,255,102,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R3_10-12.tif,5392,4524,1368,0,65,255,77,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R3_13-15.tif,4820,4382,1220,0,65,255,73,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R3_4-6.tif,5712,4708,1611,0,74,255,94,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R3_7-9.tif,5043,4462,1371,0,71,255,86,255,4,4,0.141,microns,1048576
Output\KO_Pair2_L2R1_1-3.tif,3484,5947,1147,0,56,255,93,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R1_10-12.tif,3485,5677,1173,0,53,255,93,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R1_13-15.tif,3356,6215,1189,0,50,255,94,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R1_4-6.tif,4248,5742,1339,0,48,255,89,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R1_7-9.tif,3545,6423,1265,0,55,255,83,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R2_1-3.tif,3547,6405,1310,0,50,255,85,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R2_10-12.tif,3261,5973,1175,0,50,255,78,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R2_13-15.tif,3038,5598,1065,0,50,255,82,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R2_4-6.tif,3008,6456,1239,0,54,255,77,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R2_7-9.tif,3400,5762,1170,0,50,255,80,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R3_1-3.tif,2753,6166,1022,0,49,255,81,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R3_10-12.tif,2541,5786,834,0,50,255,77,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R3_13-15.tif,2293,6279,882,0,51,255,74,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R3_4-6.tif,3170,5157,965,0,44,255,85,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R3_7-9.tif,2652,5233,869,0,50,255,81,255,4,4,0.138,microns,1048576
Output\KO_Pair3_L2R1_1-3.tif,6372,3972,1782,0,75,255,121,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R1_10-12.tif,4447,3943,1195,0,69,255,83,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R1_13-15.tif,5209,3294,1125,0,58,255,78,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R1_4-6.tif,5041,4185,1463,0,77,255,103,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R1_7-9.tif,5782,4111,1627,0,66,255,90,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R2_1-3.tif,5033,4900,1566,0,74,255,93,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R2_10-12.tif,4183,3456,917,0,62,255,73,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R2_13-15.tif,3781,3130,716,0,62,255,68,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R2_4-6.tif,4535,4832,1373,0,69,255,79,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R2_7-9.tif,4660,4298,1205,0,62,255,75,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R3_1-3.tif,5098,4865,2018,0,64,255,91,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R3_10-12.tif,3811,4122,903,0,62,255,75,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R3_13-15.tif,3800,3833,834,0,61,255,74,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R3_4-6.tif,5413,3299,1164,0,56,255,99,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R3_7-9.tif,4707,3839,1154,0,58,255,83,255,4,4,0.141,microns,1048576
Output\WT_Pair1_L2R1_1-3.tif,5520,4705,2910,0,68,255,103,255,4,4,0.141,microns,1048576
Output\WT_Pair1_L2R1_10-12.tif,4951,4904,2087,0,62,255,90,255,4,4,0.141,microns,1048576
Output\WT_Pair1_L2R1_13-15.tif,3948,4907,1630,0,65,255,82,255,4,4,0.141,microns,1048576
Output\WT_Pair1_L2R1_4-6.tif,4633,4936,1970,0,73,255,108,255,4,4,0.141,microns,1048576
Output\WT_Pair1_L2R1_7-9.tif,4352,4920,1819,0,71,255,100,255,4,4,0.141,microns,1048576
Output\WT_Pair1_L2R2_1-3.tif,5037,5053,2220,0,73,255,94,255,4,4,0.141,microns,1048576
Output\WT_Pair1_L2R2_10-12.tif,5186,5221,1680,0,61,255,91,255,4,4,0.141,microns,1048576
Output\WT_Pair1_L2R2_13-15.tif,4690,5007,1386,0,62,255,87,255,4,4,0.141,microns,1048576
Output\WT_Pair1_L2R2_4-6.tif,4777,5164,1940,0,69,255,90,255,4,4,0.141,microns,1048576
Output\WT_Pair1_L2R2_7-9.tif,4895,5353,1932,0,65,255,89,255,4,4,0.141,microns,1048576
Output\WT_Pair1_L2R3_1-3.tif,6623,5079,2356,0,74,255,102,255,4,4,0.141,microns,1048576
Output\WT_Pair1_L2R3_10-12.tif,4902,4946,1423,0,74,255,81,255,4,4,0.141,microns,1048576
Output\WT_Pair1_L2R3_13-15.tif,5899,4691,1613,0,62,255,77,255,4,4,0.141,microns,1048576
Output\WT_Pair1_L2R3_4-6.tif,6032,5737,2411,0,75,255,87,255,4,4,0.141,microns,1048576
Output\WT_Pair1_L2R3_7-9.tif,5939,5394,2135,0,69,255,82,255,4,4,0.141,microns,1048576
Output\WT_Pair2_L2R1_1-3.tif,3191,6270,1240,0,57,255,96,255,4,4,0.141,microns,1048576
Output\WT_Pair2_L2R1_10-12.tif,3681,6219,1393,0,53,255,86,255,4,4,0.141,microns,1048576
Output\WT_Pair2_L2R1_13-15.tif,3568,6354,1358,0,58,255,82,255,4,4,0.141,microns,1048576
Output\WT_Pair2_L2R1_4-6.tif,3536,5984,1297,0,53,255,94,255,4,4,0.141,microns,1048576
Output\WT_Pair2_L2R1_7-9.tif,3573,6283,1414,0,54,255,87,255,4,4,0.141,microns,1048576
Output\WT_Pair2_L2R2_1-3.tif,3282,6637,1472,0,53,255,91,255,4,4,0.138,microns,1048576
Output\WT_Pair2_L2R2_10-12.tif,3835,6294,1562,0,50,255,86,255,4,4,0.138,microns,1048576
Output\WT_Pair2_L2R2_13-15.tif,3604,6251,1435,0,54,255,85,255,4,4,0.138,microns,1048576
Output\WT_Pair2_L2R2_4-6.tif,3109,6484,1309,0,58,255,89,255,4,4,0.138,microns,1048576
Output\WT_Pair2_L2R2_7-9.tif,4000,6776,1680,0,57,255,82,255,4,4,0.138,microns,1048576
Output\WT_Pair2_L2R3_1-3.tif,4503,7026,2265,0,54,255,108,255,4,4,0.138,microns,1048576
Output\WT_Pair2_L2R3_10-12.tif,3802,7032,1794,0,54,255,91,255,4,4,0.138,microns,1048576
Output\WT_Pair2_L2R3_13-15.tif,3901,6976,1812,0,53,255,87,255,4,4,0.138,microns,1048576
Output\WT_Pair2_L2R3_4-6.tif,3951,7033,1805,0,56,255,104,255,4,4,0.138,microns,1048576
Output\WT_Pair2_L2R3_7-9.tif,3741,7068,1788,0,56,255,95,255,4,4,0.138,microns,1048576
Output\WT_Pair3_L2R2_1-3.tif,6238,5150,2875,0,77,255,79,255,4,4,0.141,microns,1048576
Output\WT_Pair3_L2R2_10-12.tif,5943,4501,2202,0,74,255,83,255,4,4,0.141,microns,1048576
Output\WT_Pair3_L2R2_13-15.tif,4958,4501,2135,0,82,255,79,255,4,4,0.141,microns,1048576
Output\WT_Pair3_L2R2_4-6.tif,5740,4753,2184,0,77,255,83,255,4,4,0.141,microns,1048576
Output\WT_Pair3_L2R2_7-9.tif,4832,4581,1584,0,83,255,85,255,4,4,0.141,microns,1048576
Output\WT_Pair3_L2R5_1-3.tif,5928,5291,2578,0,93,255,135,255,4,4,0.141,microns,1048576
Output\WT_Pair3_L2R5_10-12.tif,5460,4502,1869,0,77,255,102,255,4,4,0.141,microns,1048576
Output\WT_Pair3_L2R5_13-15.tif,5482,4902,2169,0,70,255,82,255,4,4,0.141,microns,1048576
Output\WT_Pair3_L2R5_4-6.tif,7354,5322,3825,0,71,255,117,255,4,4,0.141,microns,1048576
Output\WT_Pair3_L2R5_7-9.tif,6528,5212,2930,0,75,255,103,255,4,4,0.141,microns,1048576
Output\WT_Pair3_L2R6_1-3.tif,5656,5001,3318,0,78,255,128,255,4,4,0.141,microns,1048576
Output\WT_Pair3_L2R6_10-12.tif,4773,4972,2151,0,66,255,96,255,4,4,0.141,microns,1048576
Output\WT_Pair3_L2R6_13-15.tif,4692,4952,2018,0,62,255,90,255,4,4,0.141,microns,1048576
Output\WT_Pair3_L2R6_4-6.tif,4853,4973,2546,0,78,255,112,255,4,4,0.141,microns,1048576
Output\WT_Pair3_L2R6_7-9.tif,5017,4983,2190,0,71,255,112,255,4,4,0.141,microns,1048576
