"","image","true_pos_count","false_pos_count","false_neg_count","true_neg_count","recall","precision","condition","noise_level","image_id"
"1","group/Output/KO_Pair1_L2R1_1-3_0_00_redResults_0.csv",332,0,1,0,0.996996996996997,1,"KO","0.00",1
"2","group/Output/KO_Pair1_L2R1_1-3_0_25_redResults_0.csv",327,5,6,0,0.981981981981982,0.984939759036145,"KO","0.25",2
"3","group/Output/KO_Pair1_L2R1_1-3_0_50_redResults_0.csv",324,4,9,0,0.972972972972973,0.98780487804878,"KO","0.50",3
"4","group/Output/KO_Pair1_L2R1_1-3_0_75_redResults_0.csv",263,4,70,0,0.78978978978979,0.98501872659176,"KO","0.75",4
"5","group/Output/KO_Pair1_L2R1_1-3_1_00_redResults_0.csv",183,9,150,0,0.54954954954955,0.953125,"KO","1.00",5
"6","group/Output/KO_Pair1_L2R2_1-3_0_00_redResults_0.csv",267,131,66,0,0.801801801801802,0.670854271356784,"KO","0.00",6
"7","group/Output/KO_Pair1_L2R2_1-3_0_25_redResults_0.csv",264,69,69,0,0.792792792792793,0.792792792792793,"KO","0.25",7
"8","group/Output/KO_Pair1_L2R2_1-3_0_50_redResults_0.csv",267,65,66,0,0.801801801801802,0.80421686746988,"KO","0.50",8
"9","group/Output/KO_Pair1_L2R2_1-3_0_75_redResults_0.csv",223,35,110,0,0.66966966966967,0.864341085271318,"KO","0.75",9
"10","group/Output/KO_Pair1_L2R2_1-3_1_00_redResults_0.csv",54,4,279,0,0.162162162162162,0.931034482758621,"KO","1.00",10
"11","group/Output/KO_Pair1_L2R3_1-3_0_00_redResults_0.csv",266,66,67,0,0.798798798798799,0.801204819277108,"KO","0.00",11
"12","group/Output/KO_Pair1_L2R3_1-3_0_25_redResults_0.csv",269,68,64,0,0.807807807807808,0.798219584569733,"KO","0.25",12
"13","group/Output/KO_Pair1_L2R3_1-3_0_50_redResults_0.csv",282,44,51,0,0.846846846846847,0.865030674846626,"KO","0.50",13
"14","group/Output/KO_Pair1_L2R3_1-3_0_75_redResults_0.csv",217,24,116,0,0.651651651651652,0.900414937759336,"KO","0.75",14
"15","group/Output/KO_Pair1_L2R3_1-3_1_00_redResults_0.csv",139,18,194,0,0.417417417417417,0.885350318471338,"KO","1.00",15
"16","group/Output/KO_Pair2_L2R1_1-3_0_00_redResults_0.csv",332,0,1,0,0.996996996996997,1,"KO","0.00",16
"17","group/Output/KO_Pair2_L2R1_1-3_0_25_redResults_0.csv",332,0,1,0,0.996996996996997,1,"KO","0.25",17
"18","group/Output/KO_Pair2_L2R1_1-3_0_50_redResults_0.csv",332,0,1,0,0.996996996996997,1,"KO","0.50",18
"19","group/Output/KO_Pair2_L2R1_1-3_0_75_redResults_0.csv",332,0,1,0,0.996996996996997,1,"KO","0.75",19
"20","group/Output/KO_Pair2_L2R1_1-3_1_00_redResults_0.csv",332,5,1,0,0.996996996996997,0.985163204747775,"KO","1.00",20
"21","group/Output/KO_Pair2_L2R2_1-3_0_00_redResults_0.csv",332,0,1,0,0.996996996996997,1,"KO","0.00",21
"22","group/Output/KO_Pair2_L2R2_1-3_0_25_redResults_0.csv",325,7,8,0,0.975975975975976,0.978915662650602,"KO","0.25",22
"23","group/Output/KO_Pair2_L2R2_1-3_0_50_redResults_0.csv",314,8,19,0,0.942942942942943,0.975155279503106,"KO","0.50",23
"24","group/Output/KO_Pair2_L2R2_1-3_0_75_redResults_0.csv",278,4,55,0,0.834834834834835,0.985815602836879,"KO","0.75",24
"25","group/Output/KO_Pair2_L2R2_1-3_1_00_redResults_0.csv",228,14,105,0,0.684684684684685,0.942148760330578,"KO","1.00",25
"26","group/Output/KO_Pair2_L2R3_1-3_0_00_redResults_0.csv",332,0,1,0,0.996996996996997,1,"KO","0.00",26
"27","group/Output/KO_Pair2_L2R3_1-3_0_25_redResults_0.csv",332,0,1,0,0.996996996996997,1,"KO","0.25",27
"28","group/Output/KO_Pair2_L2R3_1-3_0_50_redResults_0.csv",327,5,6,0,0.981981981981982,0.984939759036145,"KO","0.50",28
"29","group/Output/KO_Pair2_L2R3_1-3_0_75_redResults_0.csv",320,9,13,0,0.960960960960961,0.972644376899696,"KO","0.75",29
"30","group/Output/KO_Pair2_L2R3_1-3_1_00_redResults_0.csv",293,10,40,0,0.87987987987988,0.966996699669967,"KO","1.00",30
"31","group/Output/KO_Pair3_L2R1_1-3_0_00_redResults_0.csv",332,0,1,0,0.996996996996997,1,"KO","0.00",31
"32","group/Output/KO_Pair3_L2R1_1-3_0_25_redResults_0.csv",247,85,86,0,0.741741741741742,0.743975903614458,"KO","0.25",32
"33","group/Output/KO_Pair3_L2R1_1-3_0_50_redResults_0.csv",195,137,138,0,0.585585585585586,0.587349397590361,"KO","0.50",33
"34","group/Output/KO_Pair3_L2R1_1-3_0_75_redResults_0.csv",181,118,152,0,0.543543543543544,0.605351170568562,"KO","0.75",34
"35","group/Output/KO_Pair3_L2R1_1-3_1_00_redResults_0.csv",123,119,210,0,0.369369369369369,0.508264462809917,"KO","1.00",35
"36","group/Output/KO_Pair3_L2R2_1-3_0_00_redResults_0.csv",325,7,8,0,0.975975975975976,0.978915662650602,"KO","0.00",36
"37","group/Output/KO_Pair3_L2R2_1-3_0_25_redResults_0.csv",287,45,46,0,0.861861861861862,0.864457831325301,"KO","0.25",37
"38","group/Output/KO_Pair3_L2R2_1-3_0_50_redResults_0.csv",264,66,69,0,0.792792792792793,0.8,"KO","0.50",38
"39","group/Output/KO_Pair3_L2R2_1-3_0_75_redResults_0.csv",234,68,99,0,0.702702702702703,0.774834437086093,"KO","0.75",39
"40","group/Output/KO_Pair3_L2R2_1-3_1_00_redResults_0.csv",215,70,118,0,0.645645645645646,0.754385964912281,"KO","1.00",40
"41","group/Output/KO_Pair3_L2R3_1-3_0_00_redResults_0.csv",332,0,1,0,0.996996996996997,1,"KO","0.00",41
"42","group/Output/KO_Pair3_L2R3_1-3_0_25_redResults_0.csv",332,0,1,0,0.996996996996997,1,"KO","0.25",42
"43","group/Output/KO_Pair3_L2R3_1-3_0_50_redResults_0.csv",320,1,13,0,0.960960960960961,0.996884735202492,"KO","0.50",43
"44","group/Output/KO_Pair3_L2R3_1-3_0_75_redResults_0.csv",271,7,62,0,0.813813813813814,0.974820143884892,"KO","0.75",44
"45","group/Output/KO_Pair3_L2R3_1-3_1_00_redResults_0.csv",232,16,101,0,0.696696696696697,0.935483870967742,"KO","1.00",45
"46","group/Output/KO_Pair3_L2R3_13-15_0_00_redResults_0.csv",332,0,1,0,0.996996996996997,1,"KO","0.00",46
"47","group/Output/KO_Pair3_L2R3_13-15_0_25_redResults_0.csv",326,6,7,0,0.978978978978979,0.981927710843373,"KO","0.25",47
"48","group/Output/KO_Pair3_L2R3_13-15_0_50_redResults_0.csv",328,4,5,0,0.984984984984985,0.987951807228916,"KO","0.50",48
"49","group/Output/KO_Pair3_L2R3_13-15_0_75_redResults_0.csv",331,0,2,0,0.993993993993994,1,"KO","0.75",49
"50","group/Output/KO_Pair3_L2R3_13-15_1_00_redResults_0.csv",318,0,15,0,0.954954954954955,1,"KO","1.00",50
"51","group/Output/WT_Pair1_L2R1_1-3_0_00_redResults_0.csv",134,198,199,0,0.402402402402402,0.403614457831325,"WT","0.00",51
"52","group/Output/WT_Pair1_L2R1_1-3_0_25_redResults_0.csv",132,200,201,0,0.396396396396396,0.397590361445783,"WT","0.25",52
"53","group/Output/WT_Pair1_L2R1_1-3_0_50_redResults_0.csv",139,212,194,0,0.417417417417417,0.396011396011396,"WT","0.50",53
"54","group/Output/WT_Pair1_L2R1_1-3_0_75_redResults_0.csv",114,100,219,0,0.342342342342342,0.532710280373832,"WT","0.75",54
"55","group/Output/WT_Pair1_L2R1_1-3_1_00_redResults_0.csv",71,42,262,0,0.213213213213213,0.628318584070796,"WT","1.00",55
"56","group/Output/WT_Pair1_L2R2_1-3_0_00_redResults_0.csv",333,0,0,0,1,1,"WT","0.00",56
"57","group/Output/WT_Pair1_L2R2_1-3_0_25_redResults_0.csv",247,40,86,0,0.741741741741742,0.860627177700348,"WT","0.25",57
"58","group/Output/WT_Pair1_L2R2_1-3_0_50_redResults_0.csv",208,48,125,0,0.624624624624625,0.8125,"WT","0.50",58
"59","group/Output/WT_Pair1_L2R2_1-3_0_75_redResults_0.csv",174,30,159,0,0.522522522522523,0.852941176470588,"WT","0.75",59
"60","group/Output/WT_Pair1_L2R2_1-3_1_00_redResults_0.csv",116,13,217,0,0.348348348348348,0.89922480620155,"WT","1.00",60
"61","group/Output/WT_Pair1_L2R3_1-3_0_00_redResults_0.csv",265,67,68,0,0.795795795795796,0.798192771084337,"WT","0.00",61
"62","group/Output/WT_Pair1_L2R3_1-3_0_25_redResults_0.csv",247,85,86,0,0.741741741741742,0.743975903614458,"WT","0.25",62
"63","group/Output/WT_Pair1_L2R3_1-3_0_50_redResults_0.csv",252,58,81,0,0.756756756756757,0.812903225806452,"WT","0.50",63
"64","group/Output/WT_Pair1_L2R3_1-3_0_75_redResults_0.csv",181,26,152,0,0.543543543543544,0.8743961352657,"WT","0.75",64
"65","group/Output/WT_Pair1_L2R3_1-3_1_00_redResults_0.csv",69,9,264,0,0.207207207207207,0.884615384615385,"WT","1.00",65
"66","group/Output/WT_Pair2_L2R1_1-3_0_00_redResults_0.csv",265,67,68,0,0.795795795795796,0.798192771084337,"WT","0.00",66
"67","group/Output/WT_Pair2_L2R1_1-3_0_25_redResults_0.csv",324,8,9,0,0.972972972972973,0.975903614457831,"WT","0.25",67
"68","group/Output/WT_Pair2_L2R1_1-3_0_50_redResults_0.csv",326,6,7,0,0.978978978978979,0.981927710843373,"WT","0.50",68
"69","group/Output/WT_Pair2_L2R1_1-3_0_75_redResults_0.csv",311,9,22,0,0.933933933933934,0.971875,"WT","0.75",69
"70","group/Output/WT_Pair2_L2R1_1-3_1_00_redResults_0.csv",279,33,54,0,0.837837837837838,0.894230769230769,"WT","1.00",70
"71","group/Output/WT_Pair2_L2R2_1-3_0_00_redResults_0.csv",332,0,1,0,0.996996996996997,1,"WT","0.00",71
"72","group/Output/WT_Pair2_L2R2_1-3_0_25_redResults_0.csv",318,14,15,0,0.954954954954955,0.957831325301205,"WT","0.25",72
"73","group/Output/WT_Pair2_L2R2_1-3_0_50_redResults_0.csv",323,9,10,0,0.96996996996997,0.97289156626506,"WT","0.50",73
"74","group/Output/WT_Pair2_L2R2_1-3_0_75_redResults_0.csv",321,9,12,0,0.963963963963964,0.972727272727273,"WT","0.75",74
"75","group/Output/WT_Pair2_L2R2_1-3_1_00_redResults_0.csv",278,34,55,0,0.834834834834835,0.891025641025641,"WT","1.00",75
"76","group/Output/WT_Pair2_L2R3_1-3_0_00_redResults_0.csv",332,0,1,0,0.996996996996997,1,"WT","0.00",76
"77","group/Output/WT_Pair2_L2R3_1-3_0_25_redResults_0.csv",332,0,1,0,0.996996996996997,1,"WT","0.25",77
"78","group/Output/WT_Pair2_L2R3_1-3_0_50_redResults_0.csv",313,3,20,0,0.93993993993994,0.990506329113924,"WT","0.50",78
"79","group/Output/WT_Pair2_L2R3_1-3_0_75_redResults_0.csv",266,7,67,0,0.798798798798799,0.974358974358974,"WT","0.75",79
"80","group/Output/WT_Pair2_L2R3_1-3_1_00_redResults_0.csv",130,26,203,0,0.39039039039039,0.833333333333333,"WT","1.00",80
"81","group/Output/WT_Pair3_L2R2_1-3_0_00_redResults_0.csv",267,65,66,0,0.801801801801802,0.80421686746988,"WT","0.00",81
"82","group/Output/WT_Pair3_L2R2_1-3_0_25_redResults_0.csv",257,75,76,0,0.771771771771772,0.774096385542169,"WT","0.25",82
"83","group/Output/WT_Pair3_L2R2_1-3_0_50_redResults_0.csv",243,89,90,0,0.72972972972973,0.731927710843373,"WT","0.50",83
"84","group/Output/WT_Pair3_L2R2_1-3_0_75_redResults_0.csv",213,82,120,0,0.63963963963964,0.722033898305085,"WT","0.75",84
"85","group/Output/WT_Pair3_L2R2_1-3_1_00_redResults_0.csv",126,62,207,0,0.378378378378378,0.670212765957447,"WT","1.00",85
"86","group/Output/WT_Pair3_L2R2_13-15_0_00_redResults_0.csv",266,67,67,0,0.798798798798799,0.798798798798799,"WT","0.00",86
"87","group/Output/WT_Pair3_L2R2_13-15_0_25_redResults_0.csv",216,61,117,0,0.648648648648649,0.779783393501805,"WT","0.25",87
"88","group/Output/WT_Pair3_L2R2_13-15_0_50_redResults_0.csv",222,38,111,0,0.666666666666667,0.853846153846154,"WT","0.50",88
"89","group/Output/WT_Pair3_L2R2_13-15_0_75_redResults_0.csv",189,46,144,0,0.567567567567568,0.804255319148936,"WT","0.75",89
"90","group/Output/WT_Pair3_L2R2_13-15_1_00_redResults_0.csv",54,17,279,0,0.162162162162162,0.76056338028169,"WT","1.00",90
"91","group/Output/WT_Pair3_L2R6_1-3_0_00_redResults_0.csv",266,66,67,0,0.798798798798799,0.801204819277108,"WT","0.00",91
"92","group/Output/WT_Pair3_L2R6_1-3_0_25_redResults_0.csv",264,68,69,0,0.792792792792793,0.795180722891566,"WT","0.25",92
"93","group/Output/WT_Pair3_L2R6_1-3_0_50_redResults_0.csv",237,61,96,0,0.711711711711712,0.795302013422819,"WT","0.50",93
"94","group/Output/WT_Pair3_L2R6_1-3_0_75_redResults_0.csv",113,36,220,0,0.339339339339339,0.758389261744966,"WT","0.75",94
"95","group/Output/WT_Pair3_L2R6_1-3_1_00_redResults_0.csv",66,44,267,0,0.198198198198198,0.6,"WT","1.00",95
"96","group/Output/WT_Pair3_L2R6_13-15_0_00_redResults_0.csv",265,67,68,0,0.795795795795796,0.798192771084337,"WT","0.00",96
"97","group/Output/WT_Pair3_L2R6_13-15_0_25_redResults_0.csv",317,15,16,0,0.951951951951952,0.954819277108434,"WT","0.25",97
"98","group/Output/WT_Pair3_L2R6_13-15_0_50_redResults_0.csv",316,14,17,0,0.948948948948949,0.957575757575758,"WT","0.50",98
"99","group/Output/WT_Pair3_L2R6_13-15_0_75_redResults_0.csv",254,22,79,0,0.762762762762763,0.920289855072464,"WT","0.75",99
"100","group/Output/WT_Pair3_L2R6_13-15_1_00_redResults_0.csv",171,26,162,0,0.513513513513513,0.868020304568528,"WT","1.00",100
